No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,channels,model,fail_time
0,0,0,0,0,0,0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,0
1,1.19E-07,5.81E-09,1.19E-07,3.86E-09,1.19E-07,6.51E-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,0
3,1.19E-07,1.32E-09,1.19E-07,3.57E-09,1.19E-07,3.19E-09,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:0 to:3 operator:17  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,1
4,5.96E-08,2.25E-09,1.19E-07,4.81E-09,1.19E-07,5.25E-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:13  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,1
6,1.19E-07,2.43E-08,1.19E-07,1.32E-08,1.19E-07,2.61E-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:16  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:13  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,2
7,0,0,0,0,0,0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,2
8,0,0,0,0,0,0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:11  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,2
10,1.19E-07,4.28E-09,1.19E-07,2.65E-09,1.19E-07,4.77E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:3 8:3 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,3
12,1.19E-07,2.38E-08,1.79E-07,1.37E-08,1.19E-07,2.71E-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:16  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:13  from:4 to:5 operator:-1  from:5 to:6 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,4
14,1.19E-07,5.60E-09,1.19E-07,3.77E-09,1.19E-07,6.22E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:0 to:5 operator:9  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
15,1.19E-07,5.78E-09,1.79E-07,3.55E-09,1.19E-07,6.39E-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:9  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
